lon,lat,year,month
178.0209,-40.005,2001,1
177.7653,-39.8789,2001,1
178.8864,-38.5033,2001,1
178.1759,-39.9938,2001,1
178.9454,-38.5424,2001,1
178.6031,-40.2037,2001,1
177.7667,-40.167,2001,1
178.655,-39.1434,2001,1
178.7397,-39.1172,2001,1
176.9154,-39.5527,2001,1
175.5568,-39.9606,2001,1
177.7386,-38.1582,2001,1
175.651,-39.9927,2001,1
175.4564,-40.1636,2001,1
175.4621,-40.16,2001,1
175.4628,-40.1598,2001,1
177.369,-38.1328,2001,1
175.4896,-40.0171,2001,1
175.7292,-39.8568,2001,1
175.7344,-39.8114,2001,1
175.7264,-39.8114,2001,1
175.7416,-39.7936,2001,1
175.8858,-39.7925,2001,1
175.5444,-39.691,2001,1
175.9269,-39.6075,2001,1
175.9574,-39.6149,2001,1
168.7479,-42.6988,2001,1
166.0287,-43.6485,2001,1
166.4637,-44.1414,2001,1
167.2897,-43.5048,2001,1
166.9292,-42.2071,2001,1
168.9344,-41.6778,2001,1
166.896,-42.5399,2001,1
170.746,-45.2663,2001,1
170.5751,-45.2154,2001,1
171.2073,-43.8458,2001,1
171.1867,-43.9304,2001,1
171.4735,-43.5972,2001,1
171.4732,-43.5491,2001,1
173.3633,-42.0919,2001,1
173.4128,-42.0424,2001,1
173.4404,-42.0821,2001,1
173.4236,-42.1366,2001,1
173.5502,-42.1361,2001,1
173.5377,-42.13,2001,1
173.4696,-42.1482,2001,1
173.3979,-41.9748,2001,1
171.4462,-43.4622,2001,1
173.3847,-41.996,2001,1
171.6689,-43.5143,2001,1
173.3358,-41.9605,2001,1
171.6429,-43.5317,2001,1
171.14,-43.6076,2001,1
173.6427,-41.9996,2001,1
173.6618,-42.0201,2001,1
171.5199,-43.7007,2001,1
171.2291,-43.73,2001,1
173.4208,-41.9863,2001,1
173.3734,-41.9089,2001,1
171.2289,-43.8132,2001,1
173.4297,-41.993,2001,1
173.6787,-42.0467,2001,1
171.1986,-43.6486,2001,1
171.119,-43.7223,2001,1
171.2288,-43.7142,2001,1
171.1387,-43.7777,2001,1
171.5285,-43.7039,2001,1
171.6248,-43.3847,2001,1
173.5495,-41.9701,2001,1
175.8642,-39.4052,2001,1
175.6031,-39.3291,2001,1
175.5696,-39.2615,2001,1
175.699,-39.3286,2001,1
176.1713,-39.4222,2001,1
175.9137,-39.4289,2001,1
173.3187,-42.1607,2001,1
175.6469,-39.2673,2001,1
175.6493,-39.2655,2001,1
175.9242,-39.3225,2001,1
175.5466,-39.2614,2001,1
176.0318,-39.3878,2001,1
176.1244,-39.2783,2001,1
175.94,-39.2005,2001,1
176.017,-39.2599,2001,1
173.0585,-41.9232,2001,1
175.9966,-39.2698,2001,1
175.6254,-39.2564,2001,1
175.5573,-39.2867,2001,1
175.6281,-39.2657,2001,1
175.676,-39.2315,2001,1
176.103,-39.3585,2001,1
176.043,-39.3035,2001,1
176.0594,-39.3152,2001,1
175.9048,-39.255,2001,1
175.9039,-39.2545,2001,1
175.9039,-39.2542,2001,1
176.0137,-39.1892,2001,1
175.9431,-39.2935,2001,1
175.9414,-39.2945,2001,1
175.942,-39.2959,2001,1
175.9412,-39.2944,2001,1
176.0278,-39.1879,2001,1
175.8354,-39.3495,2001,1
176.0081,-39.2785,2001,1
175.8456,-39.2914,2001,1
176.0112,-39.2791,2001,1
176.1844,-39.2199,2001,1
175.7965,-39.2697,2001,1
176.172,-39.2464,2001,1
175.8135,-39.3285,2001,1
175.7937,-39.2662,2001,1
176.9761,-38.405,2001,1
